time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.004050	__proteinX_rbs	0.000000	0.000000	0.000000
1.004050	__proteinY_rbs	0.000000	0.000000	0.000000
1.004050	__proteinZ_rbs	0.000000	0.000000	0.000000
1.004050	__ribosome	98.000000	0.000000	0.000000
1.004050	__rnase_site	0.000000	0.000000	0.000000
1.004050	__rnase_site_ext	1.000000	0.000000	0.000000
1.004050	p1	0.000000	0.000000	0.000000
1.004050	proteinX	0.000000	2.000000	1.000000
1.004050	rnapol	0.000000	0.000000	0.000000
2.001419	__proteinX_rbs	2.000000	0.000000	0.000000
2.001419	__proteinY_rbs	0.000000	0.000000	0.000000
2.001419	__proteinZ_rbs	0.000000	0.000000	0.000000
2.001419	__ribosome	96.000000	0.000000	0.000000
2.001419	__rnase_site	0.000000	0.000000	0.000000
2.001419	__rnase_site_ext	2.000000	0.000000	0.000000
2.001419	p1	1.000000	0.000000	0.000000
2.001419	proteinX	0.000000	4.000000	1.000000
2.001419	rnapol	0.000000	0.000000	0.000000
3.001561	__proteinX_rbs	0.000000	0.000000	0.000000
3.001561	__proteinY_rbs	0.000000	0.000000	0.000000
3.001561	__proteinZ_rbs	0.000000	0.000000	0.000000
3.001561	__ribosome	91.000000	0.000000	0.000000
3.001561	__rnase_site	0.000000	0.000000	0.000000
3.001561	__rnase_site_ext	2.000000	0.000000	0.000000
3.001561	p1	1.000000	0.000000	0.000000
3.001561	proteinX	0.000000	4.000000	2.250000
3.001561	rnapol	0.000000	0.000000	0.000000
4.000170	__proteinX_rbs	3.000000	0.000000	0.000000
4.000170	__proteinY_rbs	1.000000	0.000000	0.000000
4.000170	__proteinZ_rbs	0.000000	0.000000	0.000000
4.000170	__ribosome	89.000000	0.000000	0.000000
4.000170	__rnase_site	0.000000	0.000000	0.000000
4.000170	__rnase_site_ext	3.000000	0.000000	0.000000
4.000170	p1	1.000000	0.000000	0.000000
4.000170	proteinX	0.000000	4.000000	2.750000
4.000170	proteinY	0.000000	1.000000	0.000000
4.000170	rnapol	0.000000	0.000000	0.000000
4.999033	__proteinX_rbs	1.000000	0.000000	0.000000
4.999033	__proteinY_rbs	1.000000	0.000000	0.000000
4.999033	__proteinZ_rbs	0.000000	0.000000	0.000000
4.999033	__ribosome	84.000000	0.000000	0.000000
4.999033	__rnase_site	0.000000	0.000000	0.000000
4.999033	__rnase_site_ext	3.000000	0.000000	0.000000
4.999033	p1	1.000000	0.000000	0.000000
4.999033	proteinX	1.000000	4.000000	3.500000
4.999033	proteinY	0.000000	2.000000	1.000000
4.999033	rnapol	0.000000	0.000000	0.000000
6.004661	__proteinX_rbs	1.000000	0.000000	0.000000
6.004661	__proteinY_rbs	0.000000	0.000000	0.000000
6.004661	__proteinZ_rbs	0.000000	0.000000	0.000000
6.004661	__ribosome	80.000000	0.000000	0.000000
6.004661	__rnase_site	0.000000	0.000000	0.000000
6.004661	__rnase_site_ext	2.000000	0.000000	0.000000
6.004661	p1	1.000000	0.000000	0.000000
6.004661	proteinX	3.000000	4.000000	4.000000
6.004661	proteinY	0.000000	2.000000	2.000000
6.004661	rnapol	0.000000	0.000000	0.000000
6.999359	__proteinX_rbs	3.000000	0.000000	0.000000
6.999359	__proteinY_rbs	2.000000	0.000000	0.000000
6.999359	__proteinZ_rbs	1.000000	0.000000	0.000000
6.999359	__ribosome	79.000000	0.000000	0.000000
6.999359	__rnase_site	0.000000	0.000000	0.000000
6.999359	__rnase_site_ext	3.000000	0.000000	0.000000
6.999359	p1	1.000000	0.000000	0.000000
6.999359	proteinX	7.000000	4.000000	3.250000
6.999359	proteinY	0.000000	4.000000	2.000000
6.999359	proteinZ	0.000000	1.000000	0.000000
6.999359	rnapol	0.000000	0.000000	0.000000
7.999598	__proteinX_rbs	3.000000	0.000000	0.000000
7.999598	__proteinY_rbs	2.000000	0.000000	0.000000
7.999598	__proteinZ_rbs	0.000000	0.000000	0.000000
7.999598	__ribosome	74.000000	0.000000	0.000000
7.999598	__rnase_site	0.000000	0.000000	0.000000
7.999598	__rnase_site_ext	4.000000	0.000000	0.000000
7.999598	p1	1.000000	0.000000	0.000000
7.999598	proteinX	10.000000	4.000000	3.250000
7.999598	proteinY	0.000000	4.000000	2.750000
7.999598	proteinZ	0.000000	1.000000	2.000000
7.999598	rnapol	0.000000	0.000000	0.000000
8.999442	__proteinX_rbs	3.000000	0.000000	0.000000
8.999442	__proteinY_rbs	2.000000	0.000000	0.000000
8.999442	__proteinZ_rbs	1.000000	0.000000	0.000000
8.999442	__ribosome	70.000000	0.000000	0.000000
8.999442	__rnase_site	0.000000	0.000000	0.000000
8.999442	__rnase_site_ext	3.000000	0.000000	0.000000
8.999442	p1	1.000000	0.000000	0.000000
8.999442	proteinX	13.000000	4.000000	3.250000
8.999442	proteinY	1.000000	4.000000	3.500000
8.999442	proteinZ	0.000000	2.000000	1.500000
8.999442	rnapol	0.000000	0.000000	0.000000
10.000077	__proteinX_rbs	3.000000	0.000000	0.000000
